layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,dagnn,20,cora,0.7354,0.005,0.4648,0.093
2,2000,dagnn,20,cora,0.7755,0.006,0.0875,0.013
4,2000,dagnn,20,cora,0.8058,0.006,0.0336,0.005
8,2000,dagnn,20,cora,0.8236,0.010,0.0141,0.007
16,2000,dagnn,20,cora,0.8229,0.009,0.0034,0.001
32,2000,dagnn,20,cora,0.8225,0.004,0.0009,0.000
64,2000,dagnn,20,cora,0.8156,0.006,0.0003,0.000
1,2000,dagnn,20,citeseer,0.6841,0.004,0.1585,0.030
2,2000,dagnn,20,citeseer,0.7017,0.005,0.0297,0.004
4,2000,dagnn,20,citeseer,0.7102,0.011,0.0120,0.003
8,2000,dagnn,20,citeseer,0.7060,0.008,0.0052,0.003
16,2000,dagnn,20,citeseer,0.7022,0.007,0.0009,0.001
32,2000,dagnn,20,citeseer,0.7051,0.009,0.0001,0.000
64,2000,dagnn,20,citeseer,0.7028,0.006,0.0000,0.000
1,2000,dagnn,20,pubmed,0.7474,0.006,0.6044,0.222
2,2000,dagnn,20,pubmed,0.7671,0.010,0.0821,0.020
4,2000,dagnn,20,pubmed,0.7869,0.004,0.0267,0.009
8,2000,dagnn,20,pubmed,0.7907,0.006,0.0154,0.006
16,2000,dagnn,20,pubmed,0.7934,0.005,0.0049,0.002
32,2000,dagnn,20,pubmed,0.7984,0.005,0.0007,0.000
64,2000,dagnn,20,pubmed,0.7961,0.006,0.0001,0.000
1,2000,dagnn,20,wiki,0.7673,0.006,4.7205,0.422
2,2000,dagnn,20,wiki,0.7781,0.006,1.5233,0.184
4,2000,dagnn,20,wiki,0.7835,0.007,0.4606,0.059
8,2000,dagnn,20,wiki,0.7870,0.007,0.0981,0.015
16,2000,dagnn,20,wiki,0.7879,0.005,0.0117,0.002
32,2000,dagnn,20,wiki,0.7889,0.005,0.0006,0.000
64,2000,dagnn,20,wiki,0.7853,0.006,0.0001,0.000
1,2000,dagnn,20,photo,0.9173,0.007,0.6806,0.111
2,2000,dagnn,20,photo,0.9321,0.005,0.2022,0.015
4,2000,dagnn,20,photo,0.9411,0.005,0.0545,0.006
8,2000,dagnn,20,photo,0.9404,0.006,0.0157,0.002
16,2000,dagnn,20,photo,0.9352,0.004,0.0037,0.001
32,2000,dagnn,20,photo,0.9267,0.006,0.0009,0.000
64,2000,dagnn,20,photo,0.9151,0.008,0.0002,0.000
1,2000,dagnn,20,computers,0.7923,0.004,0.7825,0.118
2,2000,dagnn,20,computers,0.8406,0.004,0.2202,0.029
4,2000,dagnn,20,computers,0.8671,0.005,0.0670,0.009
8,2000,dagnn,20,computers,0.8754,0.007,0.0156,0.003
16,2000,dagnn,20,computers,0.8663,0.007,0.0031,0.000
32,2000,dagnn,20,computers,0.8480,0.008,0.0006,0.000
64,2000,dagnn,20,computers,0.8218,0.015,0.0001,0.000
