layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
<<<<<<< HEAD
1,2000,gat,20,cora,0.7590,0.013,0.0322,0.023
2,2000,gat,20,cora,0.7969,0.010,0.4163,0.151
4,2000,gat,20,cora,0.7779,0.015,7.4646,3.981
8,2000,gat,20,cora,0.7540,0.020,22.0000,5.994
16,2000,gat,20,cora,0.5223,0.101,7.6942,6.592
32,2000,gat,20,cora,0.3190,0.000,658713078777665351803725139673088.0000,2944087880014090471814289441161216.000
64,2000,gat,20,cora,0.3190,0.000,inf,nan
1,2000,gat,20,citeseer,0.6918,0.009,0.0091,0.003
2,2000,gat,20,citeseer,0.6901,0.014,0.0306,0.026
4,2000,gat,20,citeseer,0.6328,0.022,1.3776,0.813
8,2000,gat,20,citeseer,0.6277,0.021,5.5875,1.716
16,2000,gat,20,citeseer,0.4000,0.079,2.2269,1.428
32,2000,gat,20,citeseer,0.1865,0.015,31677143222528617576660992.0000,141664492008803373793935360.000
=======
1,2000,gat,20,cora,0.7607,0.012,0.0339,0.026
2,2000,gat,20,cora,0.7983,0.009,0.4165,0.172
4,2000,gat,20,cora,0.7727,0.014,6.2092,3.095
8,2000,gat,20,cora,0.7653,0.016,18.9856,3.439
16,2000,gat,20,cora,0.5013,0.112,32.2321,119.184
32,2000,gat,20,cora,0.3198,0.004,7666229538117925451937611776.0000,29296161478061108055964123136.000
64,2000,gat,20,cora,0.3191,0.000,inf,nan
1,2000,gat,20,citeseer,0.6913,0.006,0.0084,0.003
2,2000,gat,20,citeseer,0.6887,0.015,0.0619,0.037
4,2000,gat,20,citeseer,0.6353,0.016,1.2850,0.836
8,2000,gat,20,citeseer,0.6286,0.019,5.8827,1.793
16,2000,gat,20,citeseer,0.4103,0.070,1.8913,2.068
32,2000,gat,20,citeseer,0.1899,0.030,80125960.0000,352053216.000
64,2000,gat,20,citeseer,0.1837,0.011,239508130806445899776.0000,1071112913688220139520.000
1,2000,gat,20,pubmed,0.7595,0.005,0.0455,0.011
2,2000,gat,20,pubmed,0.7776,0.007,0.3912,0.232
4,2000,gat,20,pubmed,0.7647,0.009,7.3846,4.162
8,2000,gat,20,pubmed,0.7724,0.012,17.0963,12.006
16,2000,gat,20,pubmed,0.6590,0.083,8.9197,6.193
32,2000,gat,20,pubmed,0.4097,0.012,inf,nan
64,2000,gat,20,pubmed,0.4070,0.000,inf,nan
>>>>>>> e72f0d2 (update Result)
